High Blood Pressure,Instead of specific hypertension codes.
Common Cold,For a range of upper respiratory tract infections.
Type 2 Diabetes,As a general term for adult-onset diabetes.
Asthma,Covering various types of asthma.
Migraine,For various migraine disorders.
Major Depression,As a simplified term for major depressive disorder.
Anxiety Disorders,Encompassing various anxiety-related conditions.
Osteoarthritis,For joint disorders related to wear and tear.
Allergic Rhinitis,Commonly known as hay fever.
Reflux Disease,Simplifying gastroesophageal reflux disease (GERD).
Skin Acne,For various types of acne vulgaris.
Seasonal Allergies,Covering allergic reactions to pollen or mold.
Eczema,For atopic dermatitis and related skin conditions.
Influenza,Simplifying various strains of the flu.
Urinary Tract Infection (UTI),For infections affecting the urinary system.
Conjunctivitis,Commonly known as pink eye.
Lower Back Pain,For nonspecific backaches and lumbar region pain.
Chickenpox,For the varicella-zoster virus infection.
Iron Deficiency Anemia,For anemia caused by lack of iron.
Thyroid Disorders,Encompassing hypothyroidism and hyperthyroidism.
Chronic Sinusitis,For long-term sinus inflammation.
Sleep Disorders,Including insomnia and sleep apnea.
Attention Deficit Hyperactivity Disorder (ADHD),For attention-related disorders.
Gastritis,For inflammation of the stomach lining.
Food Poisoning,Covering common gastrointestinal infections from food.
Osteoporosis,For bone density and strength issues.
Pneumonia,For lung infections causing breathing difficulties.
Sunburn,For skin damage from excessive sun exposure.
Tonsillitis,For inflammation of the tonsils.
Varicose Veins,"For enlarged veins, often in the legs."
Carpal Tunnel Syndrome,For nerve compression in the wrist causing hand pain and numbness.
Gout,"For a form of arthritis characterized by severe pain, redness, and tenderness in joints."
Celiac Disease,"For a condition triggered by consuming gluten, leading to digestive issues."
Melanoma,For a type of skin cancer.
Hepatitis,Covering infections that affect the liver.
Kidney Stones,For hard deposits made of minerals and salts forming inside the kidneys.
Appendicitis,For inflammation of the appendix.
Bipolar Disorder,For a mental health condition causing extreme mood swings.
Schizophrenia,"For a mental disorder that affects a person's ability to think, feel, and behave clearly."
Post-Traumatic Stress Disorder (PTSD),For a mental health condition triggered by a terrifying event.
Tuberculosis,For a serious infectious disease that mainly affects the lungs.
Mononucleosis,"Often called 'mono' or the 'kissing disease,' a viral infection causing fever, sore throat, and fatigue."
Lyme Disease,"For a tick-borne illness that can cause fatigue, joint pain, and neurological problems."
Sciatica,"For pain that radiates along the path of the sciatic nerve, which branches from your lower back through your hips and buttocks and down each leg."
Glaucoma,"For a group of eye conditions that damage the optic nerve, crucial for good vision."
Cystic Fibrosis,For a hereditary disease that affects the lungs and digestive system.
Polycystic Ovary Syndrome (PCOS),For a hormonal disorder common among women of reproductive age.
Endometriosis,For a disorder in which tissue similar to the tissue that normally lines the inside of your uterus grows outside your uterus.
Chronic Obstructive Pulmonary Disease (COPD),For a group of lung diseases that block airflow and make it difficult to breathe.
Pancreatitis,For inflammation of the pancreas.
Rheumatoid Arthritis,For an autoimmune disorder that causes chronic inflammation of joints.
Rheumatoid Arthritis,For an autoimmune disorder that causes chronic inflammation of joints.
Multiple Sclerosis,For a disease in which the immune system eats away at the protective covering of nerves.
Parkinson's Disease,"For a brain disorder that leads to shaking, stiffness, and difficulty with walking, balance, and coordination."
Meningitis,"For inflammation of the brain and spinal cord membranes, typically caused by an infection."
Mumps,For a viral infection that affects the salivary glands.
Measles,For a highly contagious infectious disease causing fever and a red rash.
Whooping Cough (Pertussis),For a highly contagious respiratory tract infection.
Scarlet Fever,"For a disease resulting from a group A streptococcus infection, known for its bright red rash."
Rabies,For a deadly virus spread to people from the saliva of infected animals.
Heartburn,For discomfort or burning sensation caused by gastric acid reflux.
Insomnia,For difficulty falling asleep or staying asleep.
Dehydration,For the condition resulting from excessive loss of body water.
Heatstroke,For a severe heat illness resulting from high body temperatures and dehydration.
Frostbite,For injury to body tissues caused by extreme cold.
Hypothermia,For a medical emergency that occurs when your body loses heat faster than it can produce heat.
Concussion,For a brain injury caused by a blow to the head or a sudden jolt.
Sprain,For an injury to a ligament caused by tearing the fibers of the ligament.
Strain,For an injury to a muscle or tendon in which the muscle fibers tear as a result of overstretching.
Bruise,For an injury resulting in bleeding under the skin without breaking the skin.
Burns,"For injuries to tissues caused by heat, chemicals, electricity, sunlight, or radiation."
Acid Reflux,For a condition in which stomach acid frequently flows back into the tube connecting your mouth and stomach.
Gingivitis,"For a common and mild form of gum disease (periodontal disease) that causes irritation, redness, and swelling of your gingiva."
Periodontitis,For a serious gum infection that damages the soft tissue and destroys the bone that supports your teeth.
Otitis Media,For an infection of the air-filled space behind the eardrum containing the tiny vibrating bones of the ear.
Sinusitis,"For inflammation of the sinuses, often caused by an infection or allergy."
Impetigo,For a highly contagious skin infection that causes red sores on the face.
Cellulitis,For a common and potentially serious bacterial skin infection.
Ringworm,For a fungal infection of the skin that appears as a red or silvery ring-like rash.
Head Lice,For tiny insects that feed on blood from the human scalp.
Scabies,For an itchy skin condition caused by a tiny burrowing mite.
Shingles,For a viral infection that causes a painful rash.
Jaundice,For a yellowing of the skin and the whites of the eyes caused by an excess of bilirubin.
Anaphylaxis,"For a severe, potentially life-threatening allergic reaction."
Tetanus,"For a serious bacterial infection affecting the nervous system, leading to painful muscle contractions."
Hernia,For a condition in which part of an organ is displaced and protrudes through the wall of the cavity containing it.
Gallstones,For hardened deposits of digestive fluid that can form in your gallbladder.
Hemorrhoids,For swollen veins in your lower rectum and anus.
Chronic Fatigue Syndrome,For a disorder characterized by extreme fatigue or tiredness that doesn't go away with rest.
Psoriasis,"For a skin disease that causes red, itchy scaly patches, most commonly on the knees, elbows, trunk, and scalp."
Psoriasis,"For a skin disease that causes red, itchy scaly patches, most commonly on the knees, elbows, trunk, and scalp."
Strep Throat,An infection in the throat and tonsils caused by bacteria known as Group A Streptococcus.
Narcolepsy,A chronic sleep disorder characterized by overwhelming daytime drowsiness and sudden attacks of sleep.
Vertigo,"A sensation of spinning dizziness, often related to problems with the inner ear."
Dyslexia,A learning disorder that involves difficulty reading due to problems identifying speech sounds and learning how they relate to letters and words.
Dyspepsia,"Indigestion or an upset stomach, marked by discomfort or pain in the upper abdomen."
Alopecia,Hair loss from the scalp or elsewhere on the body.
Candidiasis,A fungal infection caused by yeasts that belong to the genus Candida.
Chlamydia,"A common sexually transmitted infection (STI) caused by bacteria, often without symptoms."
Gonorrhea,A sexually transmitted infection (STI) caused by the bacterium Neisseria gonorrhoeae.
Syphilis,A bacterial infection usually spread by sexual contact that starts as a painless sore.
Malaria,A mosquito-borne infectious disease affecting humans and other animals caused by parasitic single-celled microorganisms belonging to the Plasmodium group.
Zika Virus,A mosquito-borne virus that is known to cause birth defects and other neurological conditions.
Dengue Fever,"A mosquito-borne tropical disease caused by the dengue virus, symptoms typically begin three to fourteen days after infection."
West Nile Virus,"A disease spread by mosquitoes, often causing no symptoms but can lead to severe fever, headache, neck stiffness, or neurological diseases."
Yellow Fever,"A viral disease of typically short duration. In most cases, symptoms include fever, chills, loss of appetite, nausea, muscle pains particularly in the back, and headaches."
Cholera,"An infectious disease that causes severe watery diarrhea, which can lead to dehydration and even death if untreated."
Leukemia,A type of cancer of the blood or bone marrow characterized by an abnormal increase of white blood cells.
Lupus,A systemic autoimmune disease that occurs when your body's immune system attacks your own tissues and organs.
Scoliosis,A medical condition in which a person's spine has a sideways curve.
Tinnitus,"Ringing or buzzing noises in one or both ears that may be constant or come and go, often associated with hearing loss."
Macular Degeneration,A medical condition which may result in blurred or no vision in the center of the visual field.
Osteopenia,A condition where bone mineral density is lower than normal but not low enough to be classified as osteoporosis.
Peripheral Neuropathy,"A result of damage to the nerves outside of the brain and spinal cord (peripheral nerves), often causes weakness, numbness, and pain."
Cystitis,"Inflammation of the bladder, often caused by an infection and associated with urinary tract infections."
Prostatitis,"Swelling and inflammation of the prostate gland, a walnut-sized gland situated directly below the bladder in men."
Atrial Fibrillation,"An irregular, often rapid heart rate that commonly causes poor blood flow."
Angina,A type of chest pain caused by reduced blood flow to the heart.
Emphysema,A group of lung diseases that block airflow and make it difficult to breathe.
Rubella,"Also known as German measles, a contagious viral infection best known by its distinctive red rash."
Rubella,"Also known as German measles, a contagious viral infection best known by its distinctive red rash."
Bronchitis,"Inflammation of the lining of your bronchial tubes, which carry air to and from your lungs."
Esophagitis,"Inflammation that may damage tissues of the esophagus, the muscular tube that delivers food from your mouth to your stomach."
Rosacea,"A condition that causes redness and often small, red, pus-filled bumps on the face."
Urinary Incontinence,"The loss of bladder control, leading to accidental urine leakage."
Sjögren's Syndrome,An immune system disorder characterized by dry eyes and dry mouth.
Temporal Arteritis,"An inflammation of blood vessels, called arteries, in and around the scalp."
Meniere's Disease,A disorder of the inner ear that can lead to dizzy spells (vertigo) and hearing loss.
Hyperthyroidism,"The overproduction of a hormone by the thyroid gland, causing the body's metabolism to speed up."
Hypothyroidism,A condition in which your thyroid gland doesn't produce enough of certain crucial hormones.
Diverticulitis,Inflammation or infection in one or more small pouches in the digestive tract.
Ulcerative Colitis,"A chronic, inflammatory bowel disease that causes inflammation in the digestive tract."
Crohn's Disease,A type of inflammatory bowel disease (IBD) that may affect any part of the gastrointestinal tract from mouth to anus.
Restless Legs Syndrome,A disorder that causes a strong urge to move one's legs.
Myasthenia Gravis,A weakness and rapid fatigue of muscles under voluntary control.
Pancreatic Cancer,A type of cancer that begins in the tissues of the pancreas.
Liver Cirrhosis,A late stage of scarring (fibrosis) of the liver caused by many forms of liver diseases and conditions.
Hemophilia,A disorder in which blood doesn't clot normally.
Sickle Cell Disease,"A group of disorders that affects hemoglobin, the molecule in red blood cells that delivers oxygen to cells throughout the body."
Deep Vein Thrombosis (DVT),A condition that occurs when a blood clot forms in a vein located deep inside your body.
Pulmonary Embolism,A blockage in one of the pulmonary arteries in your lungs.
Peripheral Artery Disease (PAD),A circulatory condition in which narrowed blood vessels reduce blood flow to the limbs.
Obsessive-Compulsive Disorder (OCD),"An anxiety disorder characterized by uncontrollable, unwanted thoughts and repetitive, ritualized behaviors you feel compelled to perform."
Generalized Anxiety Disorder (GAD),"Severe, ongoing anxiety that interferes with daily activities."
Social Anxiety Disorder,A chronic mental health condition in which social interactions cause irrational anxiety.
Phobias,An overwhelming and unreasonable fear of an object or situation that poses little real danger.
Eating Disorders,Any of a range of psychological disorders characterized by abnormal or disturbed eating habits.
Postpartum Depression,"A complex mix of physical, emotional, and behavioral changes that happen in some women after giving birth."
Obsessive-Compulsive Personality Disorder (OCPD),"A personality disorder characterized by a general pattern of concern with orderliness, perfectionism, excessive attention to details, mental and interpersonal control, and a need for control over one's environment."
Dissociative Identity Disorder (DID),"A severe form of dissociation, a mental process which produces a lack of connection in a person's thoughts, memory and sense of identity."
Borderline Personality Disorder (BPD),"A mental illness marked by an ongoing pattern of varying moods, self-image, and behavior."
Narcissistic Personality Disorder,A disorder in which a person has an inflated sense of self-importance.
Asperger's Syndrome,A developmental disorder affecting ability to effectively socialize and communicate.
Autism Spectrum Disorder (ASD),A developmental disorder that affects communication and behavior.
Down Syndrome,A genetic chromosome 21 disorder causing developmental and intellectual delays.
Fetal Alcohol Syndrome,A condition in a child that results from alcohol exposure during the mother's pregnancy.
Tourette Syndrome,A nervous system disorder involving repetitive movements or unwanted sounds.
Transient Ischemic Attack (TIA),"Often called a mini-stroke, a temporary period of symptoms similar to those of a stroke."
Stroke,"A condition where the blood supply to part of your brain is interrupted or reduced, preventing brain tissue from getting oxygen and nutrients."
Heart Attack,A blockage of blood flow to the heart muscle.
Cardiac Arrest,A sudden loss of blood flow resulting from the failure of the heart to effectively pump.
Anemia,A condition in which you lack enough healthy red blood cells to carry adequate oxygen to your body's tissues.
Chronic Kidney Disease (CKD),The gradual loss of kidney function.
Erectile Dysfunction,The inability to get or keep an erection firm enough for sex.
Polycythemia Vera,A type of blood cancer that causes the bone marrow to make too many red blood cells.
Myelofibrosis,A serious bone marrow disorder that disrupts your body's normal production of blood cells.
Thalassemia,A blood disorder involving less than normal amounts of an oxygen-carrying protein.
Lactose Intolerance,"An inability to digest lactose, a sugar found in milk and dairy products."
Gluten Sensitivity,"A condition that causes a person to react after ingesting gluten, a protein found in wheat, barley, and rye."
Peptic Ulcer,"A sore on the lining of your stomach, small intestine, or esophagus."
Irritable Bowel Syndrome (IBS),"An intestinal disorder causing pain in the belly, gas, diarrhea, and constipation."
Migratory Arthritis,Arthritis that moves from one joint to another.
Bunion,A bony bump that forms on the joint at the base of the big toe.
Plantar Fasciitis,A disorder that causes pain in the heel and bottom of the foot.
Sciatic Pain,"Pain affecting the back, hip, and outer side of the leg, caused by compression of a spinal nerve root in the lower back."
Bell's Palsy,A condition that causes a temporary weakness or paralysis of the muscles in the face.
Cataracts,Clouding of the lens in the eye that affects vision.
Lactose Intolerance,"An inability to digest lactose, leading to gastrointestinal discomfort."
Gluten Sensitivity,"Reactions to ingesting gluten, found in wheat, barley, and rye."
Peptic Ulcer,Open sores that develop on the inside lining of your stomach and the upper portion of your small intestine.
Irritable Bowel Syndrome (IBS),A group of intestinal symptoms that typically occur together.
Migratory Arthritis,Arthritis symptoms that move from one joint to another.
Bunion,A bony bump that forms on the joint at the base of the big toe.
Plantar Fasciitis,A disorder that causes pain in the heel and bottom of the foot.
Sciatic Pain,"Pain affecting the back, hip, and outer side of the leg, caused by compression of a spinal nerve root in the lower back."
Bell's Palsy,A condition that causes a temporary weakness or paralysis of the muscles in the face.
Cataracts,Clouding of the lens in the eye that affects vision.
Macular Edema,"Swelling or thickening of the macula, the part of your eye responsible for detailed, central vision."
Retinal Detachment,An emergency condition in which a thin layer of tissue (the retina) at the back of the eye pulls away from its normal position.
Dry Eye Syndrome,A condition in which your eyes don't produce enough tears or produce tears that evaporate too quickly.
Color Blindness,A reduced ability to see colors or differences in colors.
Night Blindness,Difficulty seeing in low light or darkness.
Hyperopia,"Farsightedness, a common vision condition in which you can see distant objects clearly, but objects nearby may be blurry."
Myopia,"Nearsightedness, a condition in which close objects appear clearly, but far ones don't."
Otitis Externa,"Inflammation of the external ear canal, also known as swimmer's ear."
Menstrual Cramps,Painful sensations felt in the lower abdomen that can occur both before and during a woman's menstrual period.
Premenstrual Syndrome (PMS),A combination of physical and emotional symptoms that many women get after ovulation and before the start of their menstrual period.
